# seed = 1781169358
magic_constant, RMSRE
1064895000, 3.5695502097e-02
1064896000, 3.5723462867e-02
1064897000, 3.5752197844e-02
1064898000, 3.5781660066e-02
1064899000, 3.5811845744e-02
1064900000, 3.5842780804e-02
1064901000, 3.5874472473e-02
1064902000, 3.5906910692e-02
1064903000, 3.5940091140e-02
1064904000, 3.5974021694e-02
1064905000, 3.6008704793e-02
1064906000, 3.6044121604e-02
1064907000, 3.6080284996e-02
1064908000, 3.6117169824e-02
1064909000, 3.6154789983e-02
1064910000, 3.6193147958e-02
1064911000, 3.6232198150e-02
1064912000, 3.6271944520e-02
1064913000, 3.6312439835e-02
1064914000, 3.6353657889e-02
1064915000, 3.6395565483e-02
1064916000, 3.6438197005e-02
1064917000, 3.6481549443e-02
1064918000, 3.6525594264e-02
1064919000, 3.6570345972e-02
1064920000, 3.6615798981e-02
1064921000, 3.6661942129e-02
1064922000, 3.6708785773e-02
1064923000, 3.6756320288e-02
1064924000, 3.6804532801e-02
1064925000, 3.6853418981e-02
1064926000, 3.6902959183e-02
1064927000, 3.6953192367e-02
1064928000, 3.7004081324e-02
1064929000, 3.7055632035e-02
1064930000, 3.7107878418e-02
1064931000, 3.7160831252e-02
1064932000, 3.7214423091e-02
1064933000, 3.7268663981e-02
1064934000, 3.7323588480e-02
1064935000, 3.7379186689e-02
1064936000, 3.7435454150e-02
1064937000, 3.7492379951e-02
1064938000, 3.7549971932e-02
1064939000, 3.7608244703e-02
1064940000, 3.7667188596e-02
1064941000, 3.7726803453e-02
1064942000, 3.7787072014e-02
1064943000, 3.7847998097e-02
1064944000, 3.7909537918e-02
1064945000, 3.7971726500e-02
1064946000, 3.8034581438e-02
1064947000, 3.8098098108e-02
1064948000, 3.8162257046e-02
1064949000, 3.8227051962e-02
1064950000, 3.8292475563e-02
1064951000, 3.8358526619e-02
1064952000, 3.8425199299e-02
1064953000, 3.8492490383e-02
1064954000, 3.8560399910e-02
1064955000, 3.8628932580e-02
1064956000, 3.8698070324e-02
1064957000, 3.8767784815e-02
1064958000, 3.8838105044e-02
1064959000, 3.8909041186e-02
1064960000, 3.8980599840e-02
1064961000, 3.9052771440e-02
1064962000, 3.9125549431e-02
1064963000, 3.9198924073e-02
1064964000, 3.9272884360e-02
1064965000, 3.9347426387e-02
1064966000, 3.9422571534e-02
1064967000, 3.9498318868e-02
1064968000, 3.9574653122e-02
1064969000, 3.9651568410e-02
1064970000, 3.9729066780e-02
1064971000, 3.9807153711e-02
1064972000, 3.9885804013e-02
1064973000, 3.9965022512e-02
1064974000, 4.0044781742e-02
1064975000, 4.0125092918e-02
1064976000, 4.0205956731e-02
1064977000, 4.0287345612e-02
1064978000, 4.0369272378e-02
1064979000, 4.0451750469e-02
1064980000, 4.0534765351e-02
1064981000, 4.0618320964e-02
1064982000, 4.0702416005e-02
1064983000, 4.0787036265e-02
1064984000, 4.0872183628e-02
1064985000, 4.0957878036e-02
1064986000, 4.1044105431e-02
1064987000, 4.1130852144e-02
1064988000, 4.1218095696e-02
1064989000, 4.1305834547e-02
1064990000, 4.1394102385e-02
1064991000, 4.1482898274e-02
1064992000, 4.1572219544e-02
1064993000, 4.1662050140e-02
1064994000, 4.1752374743e-02
1064995000, 4.1843192329e-02
1064996000, 4.1934520595e-02
1064997000, 4.2026346520e-02
1064998000, 4.2118646534e-02
1064999000, 4.2211432194e-02
1065000000, 4.2304695767e-02
1065001000, 4.2398420410e-02
1065002000, 4.2492607455e-02
1065003000, 4.2587235806e-02
1065004000, 4.2682315807e-02
1065005000, 4.2777873727e-02
1065006000, 4.2873901774e-02
1065007000, 4.2970399425e-02
1065008000, 4.3067348044e-02
1065009000, 4.3164757490e-02
1065010000, 4.3262625469e-02
1065011000, 4.3360942892e-02
1065012000, 4.3459705986e-02
1065013000, 4.3558915204e-02
1065014000, 4.3658585058e-02
1065015000, 4.3758713653e-02
1065016000, 4.3859297662e-02
1065017000, 4.3960335031e-02
1065018000, 4.4061811210e-02
1065019000, 4.4163696276e-02
1065020000, 4.4265991484e-02
1065021000, 4.4368699627e-02
1065022000, 4.4471825057e-02
1065023000, 4.4575384968e-02
1065024000, 4.4679369266e-02
1065025000, 4.4783767203e-02
1065026000, 4.4888591448e-02
1065027000, 4.4993831129e-02
