num_newton_steps, optimal_magic_constant, optimal_RMSRE
1, 1596903424, 0.002987
1, 1596907520, 0.002957
1, 1596911616, 0.002927
1, 1596915712, 0.002897
1, 1596919808, 0.002867
1, 1596923904, 0.002838
1, 1596928000, 0.002809
1, 1596932096, 0.002780
1, 1596936192, 0.002752
1, 1596940288, 0.002723
1, 1596944384, 0.002695
1, 1596948480, 0.002667
1, 1596952576, 0.002640
1, 1596956672, 0.002612
1, 1596960768, 0.002585
1, 1596964864, 0.002558
1, 1596968960, 0.002531
1, 1596973056, 0.002505
1, 1596977152, 0.002479
1, 1596981248, 0.002453
1, 1596985344, 0.002427
1, 1596989440, 0.002401
1, 1596993536, 0.002376
1, 1596997632, 0.002351
1, 1597001728, 0.002326
1, 1597005824, 0.002301
1, 1597009920, 0.002276
1, 1597014016, 0.002252
1, 1597018112, 0.002228
1, 1597022208, 0.002204
1, 1597026304, 0.002180
1, 1597030400, 0.002156
1, 1597034496, 0.002133
1, 1597038592, 0.002110
1, 1597042688, 0.002086
1, 1597046784, 0.002064
1, 1597050880, 0.002041
1, 1597054976, 0.002019
1, 1597059072, 0.001996
1, 1597063168, 0.001974
1, 1597067264, 0.001952
1, 1597071360, 0.001931
1, 1597075456, 0.001909
1, 1597079552, 0.001888
1, 1597083648, 0.001866
1, 1597087744, 0.001845
1, 1597091840, 0.001824
1, 1597095936, 0.001804
1, 1597100032, 0.001783
1, 1597104128, 0.001763
1, 1597108224, 0.001743
1, 1597112320, 0.001722
1, 1597116416, 0.001703
1, 1597120512, 0.001683
1, 1597124608, 0.001663
1, 1597128704, 0.001644
1, 1597132800, 0.001624
1, 1597136896, 0.001605
1, 1597140992, 0.001586
1, 1597145088, 0.001567
1, 1597149184, 0.001549
1, 1597153280, 0.001530
1, 1597157376, 0.001512
1, 1597161472, 0.001494
1, 1597165568, 0.001476
1, 1597169664, 0.001458
1, 1597173760, 0.001440
1, 1597177856, 0.001423
1, 1597181952, 0.001406
1, 1597186048, 0.001388
1, 1597190144, 0.001371
1, 1597194240, 0.001354
1, 1597198336, 0.001338
1, 1597202432, 0.001321
1, 1597206528, 0.001305
1, 1597210624, 0.001289
1, 1597214720, 0.001273
1, 1597218816, 0.001257
1, 1597222912, 0.001242
1, 1597227008, 0.001227
1, 1597231104, 0.001211
1, 1597235200, 0.001197
1, 1597239296, 0.001182
1, 1597243392, 0.001168
1, 1597247488, 0.001154
1, 1597251584, 0.001140
1, 1597255680, 0.001126
1, 1597259776, 0.001113
1, 1597263872, 0.001100
1, 1597267968, 0.001087
1, 1597272064, 0.001075
1, 1597276160, 0.001063
1, 1597280256, 0.001051
1, 1597284352, 0.001039
1, 1597288448, 0.001028
1, 1597292544, 0.001018
1, 1597296640, 0.001007
1, 1597300736, 0.000997
1, 1597304832, 0.000988
1, 1597308928, 0.000979
1, 1597313024, 0.000970
1, 1597317120, 0.000962
1, 1597321216, 0.000955
1, 1597325312, 0.000948
1, 1597329408, 0.000941
1, 1597333504, 0.000935
1, 1597337600, 0.000930
1, 1597341696, 0.000925
1, 1597345792, 0.000921
1, 1597349888, 0.000917
1, 1597353984, 0.000914
1, 1597358080, 0.000912
1, 1597362176, 0.000910
1, 1597366272, 0.000909
1, 1597370368, 0.000909
1, 1597374464, 0.000910
1, 1597378560, 0.000911
1, 1597382656, 0.000913
1, 1597386752, 0.000916
1, 1597390848, 0.000919
1, 1597394944, 0.000923
1, 1597399040, 0.000928
1, 1597403136, 0.000934
1, 1597407232, 0.000940
1, 1597411328, 0.000947
1, 1597415424, 0.000955
1, 1597419520, 0.000964
