Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 6, ADDR_WIDTH = 9], N = 64, SIMD = 2):   RMSRE = 0.0000003575, MAX_REL_ERROR = 0.0000156059, WORST_INPUT = 1.1589230298995971679687500 (elements = 32700)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 8, ADDR_WIDTH = 9], N = 64, SIMD = 2):   RMSRE = 0.0000003739, MAX_REL_ERROR = 0.0000159280, WORST_INPUT = 204.8983917236328125000000000 (elements = 32706)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 10, ADDR_WIDTH = 9], N = 64, SIMD = 2):  RMSRE = 0.0000005487, MAX_REL_ERROR = 0.0000107142, WORST_INPUT = 1594.0435791015625000000000000 (elements = 32640)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 12, ADDR_WIDTH = 9], N = 64, SIMD = 2):  RMSRE = 0.0000003928, MAX_REL_ERROR = 0.0000132847, WORST_INPUT = 927.6018066406250000000000000 (elements = 32650)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 14, ADDR_WIDTH = 9], N = 64, SIMD = 2):  RMSRE = 0.0000002793, MAX_REL_ERROR = 0.0000117099, WORST_INPUT = -312.7271728515625000000000000 (elements = 32648)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 16, ADDR_WIDTH = 9], N = 64, SIMD = 2):  RMSRE = 0.0000004205, MAX_REL_ERROR = 0.0000101168, WORST_INPUT = 396.7174987792968750000000000 (elements = 32503)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 6, ADDR_WIDTH = 10], N = 64, SIMD = 2):  RMSRE = 0.0000004388, MAX_REL_ERROR = 0.0000212628, WORST_INPUT = 1150.6378173828125000000000000 (elements = 32507)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 8, ADDR_WIDTH = 10], N = 64, SIMD = 2):  RMSRE = 0.0000004956, MAX_REL_ERROR = 0.0000179951, WORST_INPUT = -582.2153320312500000000000000 (elements = 32655)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 10, ADDR_WIDTH = 10], N = 64, SIMD = 2): RMSRE = 0.0000004996, MAX_REL_ERROR = 0.0000122306, WORST_INPUT = -32.9374961853027343750000000 (elements = 32549)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 12, ADDR_WIDTH = 10], N = 64, SIMD = 2): RMSRE = 0.0000004589, MAX_REL_ERROR = 0.0000119072, WORST_INPUT = 905.1564331054687500000000000 (elements = 32561)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 14, ADDR_WIDTH = 10], N = 64, SIMD = 2): RMSRE = 0.0000003418, MAX_REL_ERROR = 0.0000121772, WORST_INPUT = 1633.2210693359375000000000000 (elements = 32645)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 16, ADDR_WIDTH = 10], N = 64, SIMD = 2): RMSRE = 0.0000005624, MAX_REL_ERROR = 0.0000176669, WORST_INPUT = 96.5675888061523437500000000 (elements = 32590)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 6, ADDR_WIDTH = 11], N = 64, SIMD = 2):  RMSRE = 0.0000004577, MAX_REL_ERROR = 0.0000112233, WORST_INPUT = -0.5568559765815734863281250 (elements = 32705)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 8, ADDR_WIDTH = 11], N = 64, SIMD = 2):  RMSRE = 0.0000004538, MAX_REL_ERROR = 0.0000098836, WORST_INPUT = 4.5296902656555175781250000 (elements = 32631)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 10, ADDR_WIDTH = 11], N = 64, SIMD = 2): RMSRE = 0.0000003662, MAX_REL_ERROR = 0.0000201213, WORST_INPUT = 517.6865844726562500000000000 (elements = 32698)
Test (METHOD =    LOOKUP, NEWTON = 2 [WORD_WIDTH = 12, ADDR_WIDTH = 11], N = 64, SIMD = 2): RMSRE = 0.0000004336, MAX_REL_ERROR = 0.0000285978, WORST_INPUT = 1345.1391601562500000000000000 (elements = 32601)
