rsqrt_bipartite accuracy sweep
  NUM_SAMPLES      = 10000
  NS=0 A0=6 A1=7 A2=7 WW=23  RMSRE=1.204701e-07  max_rel_error=4.771997e-07  at x=6.75310988e+35  (dut=1.21688153e-18, ref=1.21688095e-18)
  NS=0 A0=7 A1=3 A2=3 WW=17  RMSRE=1.260045e-05  max_rel_error=3.272365e-05  at x=2129.50317  (dut=0.0216693878, ref=0.0216700969)
  NS=0 A0=7 A1=3 A2=4 WW=18  RMSRE=6.271039e-06  max_rel_error=1.647712e-05  at x=8470550  (dut=0.00034358725, ref=0.000343592911)
  NS=0 A0=7 A1=3 A2=5 WW=19  RMSRE=3.144879e-06  max_rel_error=8.297794e-06  at x=2.00681947e-31  (dut=2.23224698e+15, ref=2.2322655e+15)
  NS=0 A0=7 A1=3 A2=6 WW=20  RMSRE=1.596859e-06  max_rel_error=4.809224e-06  at x=1.70294235e+38  (dut=7.66305806e-20, ref=7.66302121e-20)
  NS=0 A0=7 A1=3 A2=7 WW=21  RMSRE=8.317263e-07  max_rel_error=2.882926e-06  at x=5.12289541e-29  (dut=1.39715152e+14, ref=1.39714749e+14)
  NS=0 A0=7 A1=4 A2=3 WW=18  RMSRE=6.278702e-06  max_rel_error=1.666282e-05  at x=1.21690348e-07  (dut=2866.67969, ref=2866.63192)
  NS=0 A0=7 A1=4 A2=4 WW=19  RMSRE=3.142913e-06  max_rel_error=8.486853e-06  at x=1.21690348e-07  (dut=2866.65625, ref=2866.63192)
  NS=0 A0=7 A1=4 A2=5 WW=20  RMSRE=1.589121e-06  max_rel_error=4.235323e-06  at x=7.13101283e-15  (dut=11842032, ref=11841981.8)
  NS=0 A0=7 A1=4 A2=6 WW=21  RMSRE=8.009164e-07  max_rel_error=2.402598e-06  at x=5.12289541e-29  (dut=1.39715085e+14, ref=1.39714749e+14)
  NS=0 A0=7 A1=4 A2=7 WW=22  RMSRE=4.179386e-07  max_rel_error=1.430805e-06  at x=264193.062  (dut=0.00194553332, ref=0.00194553611)
