method,params,rmsre,lut,dsp
exp:exp_bipartite+rec:rec_bipartite,exp_ADDR_WIDTH_0=2;exp_ADDR_WIDTH_1=4;exp_ADDR_WIDTH_2=4;exp_WORD_WIDTH=14;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH_0=2;rec_ADDR_WIDTH_1=3;rec_ADDR_WIDTH_2=3;rec_WORD_WIDTH=11,2.491715e-04,1013,9
exp:exp_bipartite+rec:rec_lookup,exp_ADDR_WIDTH_0=2;exp_ADDR_WIDTH_1=4;exp_ADDR_WIDTH_2=4;exp_WORD_WIDTH=14;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=7;rec_WORD_WIDTH=10,2.491810e-04,1008,9
exp:exp_bipartite+rec:rec_lookup,exp_ADDR_WIDTH_0=2;exp_ADDR_WIDTH_1=4;exp_ADDR_WIDTH_2=4;exp_WORD_WIDTH=14;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=7;rec_WORD_WIDTH=8,2.491936e-04,1001,9
exp:exp_bipartite+rec:rec_lookup,exp_ADDR_WIDTH_0=2;exp_ADDR_WIDTH_1=4;exp_ADDR_WIDTH_2=4;exp_WORD_WIDTH=14;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=6;rec_WORD_WIDTH=12,2.493988e-04,998,9
exp:exp_bipartite+rec:rec_lookup,exp_ADDR_WIDTH_0=2;exp_ADDR_WIDTH_1=4;exp_ADDR_WIDTH_2=4;exp_WORD_WIDTH=14;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=6;rec_WORD_WIDTH=10,2.494001e-04,994,9
exp:exp_bipartite+rec:rec_lookup,exp_ADDR_WIDTH_0=2;exp_ADDR_WIDTH_1=4;exp_ADDR_WIDTH_2=4;exp_WORD_WIDTH=14;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=6;rec_WORD_WIDTH=8,2.494422e-04,990,9
exp:exp_bipartite+rec:rec_lookup,exp_ADDR_WIDTH_0=2;exp_ADDR_WIDTH_1=4;exp_ADDR_WIDTH_2=4;exp_WORD_WIDTH=14;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=6;rec_WORD_WIDTH=6,2.505619e-04,988,9
exp:exp_bipartite+rec:rec_bipartite,exp_ADDR_WIDTH_0=2;exp_ADDR_WIDTH_1=4;exp_ADDR_WIDTH_2=4;exp_WORD_WIDTH=14;rec_NUM_NEWTON_STEPS=0;rec_ADDR_WIDTH_0=3;rec_ADDR_WIDTH_1=5;rec_ADDR_WIDTH_2=5;rec_WORD_WIDTH=15,2.543941e-04,1094,7
exp:exp_bipartite+rec:rec_bipartite,exp_ADDR_WIDTH_0=2;exp_ADDR_WIDTH_1=4;exp_ADDR_WIDTH_2=4;exp_WORD_WIDTH=14;rec_NUM_NEWTON_STEPS=0;rec_ADDR_WIDTH_0=3;rec_ADDR_WIDTH_1=4;rec_ADDR_WIDTH_2=4;rec_WORD_WIDTH=14,2.824761e-04,1040,7
exp:exp_bipartite+rec:rec_bipartite,exp_ADDR_WIDTH_0=2;exp_ADDR_WIDTH_1=4;exp_ADDR_WIDTH_2=4;exp_WORD_WIDTH=14;rec_NUM_NEWTON_STEPS=0;rec_ADDR_WIDTH_0=2;rec_ADDR_WIDTH_1=4;rec_ADDR_WIDTH_2=4;rec_WORD_WIDTH=12,4.752670e-04,1005,7
exp:exp_bipartite+rec:rec_bipartite,exp_ADDR_WIDTH_0=2;exp_ADDR_WIDTH_1=4;exp_ADDR_WIDTH_2=4;exp_WORD_WIDTH=14;rec_NUM_NEWTON_STEPS=0;rec_ADDR_WIDTH_0=2;rec_ADDR_WIDTH_1=3;rec_ADDR_WIDTH_2=3;rec_WORD_WIDTH=11,1.086567e-03,995,7
exp:exp_lookup+rec:rec_lookup,exp_ADDR_WIDTH=8;exp_WORD_WIDTH=8;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=6;rec_WORD_WIDTH=10,1.172098e-03,984,9
exp:exp_lookup+rec:rec_lookup,exp_ADDR_WIDTH=8;exp_WORD_WIDTH=8;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=6;rec_WORD_WIDTH=8,1.172107e-03,980,9
exp:exp_lookup+rec:rec_lookup,exp_ADDR_WIDTH=8;exp_WORD_WIDTH=8;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=6;rec_WORD_WIDTH=6,1.172346e-03,978,9
exp:exp_lookup+rec:rec_lookup,exp_ADDR_WIDTH=7;exp_WORD_WIDTH=12;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=6;rec_WORD_WIDTH=8,1.566062e-03,976,9
